City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
Charleston,East,7/1/1986,0:00,7.124,5.644,5.175,2.767,2.665,0.146,-0.074,-1.045,0
Charleston,East,8/1/1986,0:00,6.606,5.526,5.136,2.797,2.695,0.244,0.057,-1.016,0
Charleston,East,9/1/1986,0:00,7.036,5.854,5.507,3.154,3.046,0.576,0.415,-0.314,0
Charleston,East,10/1/1986,0:00,6.527,5.756,5.454,3.125,2.987,0.517,0.395,-0.996,0
Charleston,East,11/1/1986,0:00,7.416,5.996,5.585,3.207,3.076,0.566,0.385,-0.195,0
Charleston,East,12/1/1986,0:00,7.836,6.064,5.585,3.125,3.017,0.454,0.234,-1.006,0
Charleston,East,1/1/1987,0:00,8.807,5.644,5.234,2.787,2.665,0.097,-0.176,-1.813,0
Charleston,East,2/1/1987,0:00,7.334,5.625,5.287,2.905,2.807,0.336,0.077,-0.806,0
Charleston,East,3/1/1987,0:00,6.616,5.805,5.497,3.076,2.954,0.415,0.195,-1.393,0
Charleston,East,4/1/1987,0:00,6.767,5.385,5.067,2.665,2.544,0.024,-0.113,-1.354,0
Charleston,East,5/1/1987,0:00,6.537,5.654,5.195,2.826,2.705,0.215,0.087,-0.835,0
Charleston,East,6/1/1987,0:00,6.885,5.467,4.985,2.567,2.456,-0.064,-0.235,-1.514,0
Charleston,East,7/1/1987,0:00,6.947,5.644,5.215,2.787,2.675,0.136,-0.035,-1.025,0
Charleston,East,8/1/1987,0:00,6.947,5.576,5.215,2.797,2.695,0.175,-0.015,-1.035,0
Charleston,East,9/1/1987,0:00,7.285,5.825,5.467,3.066,2.935,0.415,0.254,-0.743,0
Charleston,East,10/1/1987,0:00,6.816,5.874,5.526,3.144,3.026,0.526,0.415,-1.275,0
Charleston,East,11/1/1987,0:00,6.606,5.795,5.395,2.977,2.866,0.326,0.175,-0.934,0
Charleston,East,12/1/1987,0:00,6.635,5.346,4.896,2.426,2.324,-0.245,-0.425,-1.393,0
Charleston,East,1/1/1988,0:00,6.606,5.356,4.936,2.515,2.406,-0.123,-0.314,-1.534,0
Charleston,East,2/1/1988,0:00,6.655,5.244,4.916,2.485,2.387,-0.143,-0.396,-1.714,0
Charleston,East,3/1/1988,0:00,6.465,5.136,4.795,2.367,2.275,-0.245,-0.425,-1.915,0
Charleston,East,4/1/1988,0:00,6.914,5.546,5.146,2.767,2.626,0.116,-0.015,-1.134,0
Charleston,East,5/1/1988,0:00,6.294,5.566,5.097,2.665,2.534,-0.025,-0.205,-1.173,0
Charleston,East,6/1/1988,0:00,6.625,5.736,5.234,2.856,2.725,0.205,0.015,-0.806,0
Charleston,East,7/1/1988,0:00,6.704,5.487,4.995,2.505,2.387,-0.235,-0.435,-1.206,0
Charleston,East,8/1/1988,0:00,6.576,5.625,5.215,2.705,2.577,-0.054,-0.284,-1.416,0
Charleston,East,9/1/1988,0:00,7.045,5.907,5.556,3.164,3.017,0.487,0.307,-0.983,0
Charleston,East,10/1/1988,0:00,6.786,5.956,5.635,3.295,3.177,0.727,0.546,-1.245,0
Charleston,East,11/1/1988,0:00,6.606,5.526,5.136,2.777,2.656,0.175,0.024,-1.344,0
Charleston,East,12/1/1988,0:00,6.566,5.366,4.946,2.557,2.456,-0.025,-0.215,-1.206,0
Charleston,East,1/1/1989,0:00,6.504,5.375,4.965,2.577,2.475,-0.025,-0.274,-1.455,0
Charleston,East,2/1/1989,0:00,6.465,5.244,4.916,2.465,2.357,-0.205,-0.425,-1.436,0
Charleston,East,3/1/1989,0:00,7.324,5.566,5.234,2.866,2.744,0.267,0.077,-1.094,0
Charleston,East,4/1/1989,0:00,6.376,5.425,5.097,2.626,2.524,-0.054,-0.195,-3.063,0
Charleston,East,5/1/1989,0:00,7.114,5.605,5.195,2.715,2.587,-0.025,-0.195,-1.173,0
Charleston,East,6/1/1989,0:00,7.206,5.517,5.024,2.515,2.387,-0.254,-0.445,-1.426,0
Charleston,East,7/1/1989,0:00,6.885,5.566,5.106,2.636,2.524,-0.064,-0.304,-0.963,0
Charleston,East,8/1/1989,0:00,6.206,5.664,5.316,2.895,2.754,0.205,0.044,-0.963,0
Charleston,East,9/1/1989,0:00,12.524,6.183,5.772,3.312,3.223,0.674,0.487,-1.104,0
Charleston,East,10/1/1989,0:00,NaN,5.874,5.526,3.177,3.036,0.536,0.366,NaN,11
Charleston,East,11/1/1989,0:00,6.747,5.454,5.044,2.636,2.534,0.015,-0.143,-1.544,0
Charleston,East,12/1/1989,0:00,6.665,5.346,4.906,2.446,2.357,-0.205,-0.425,-1.583,0
Charleston,East,1/1/1990,0:00,6.494,4.985,4.647,2.114,2.026,-0.586,-0.796,-1.793,0
Charleston,East,2/1/1990,0:00,6.186,5.165,4.834,2.347,2.246,-0.353,-0.606,-2.554,0
Charleston,East,3/1/1990,0:00,7.095,5.615,5.277,2.787,2.665,0.057,-0.133,-0.835,0
Charleston,East,4/1/1990,0:00,6.376,5.477,5.077,2.606,2.475,-0.123,-0.304,-1.836,0
Charleston,East,5/1/1990,0:00,7.406,5.615,5.205,2.715,2.597,-0.015,-0.225,-1.373,0
Charleston,East,6/1/1990,0:00,6.894,5.815,5.356,2.915,2.777,0.205,-0.015,-1.445,0
Charleston,East,7/1/1990,0:00,6.347,5.664,5.225,2.816,2.695,0.156,-0.074,-1.403,0
Charleston,East,8/1/1990,0:00,NaN,5.776,5.356,3.007,2.866,0.366,0.156,NaN,11
Charleston,East,9/1/1990,0:00,NaN,5.986,5.664,3.305,3.144,0.625,0.497,NaN,11
Charleston,East,10/1/1990,0:00,7.167,6.015,5.687,3.286,3.135,0.595,0.395,-1.285,0
Charleston,East,11/1/1990,0:00,NaN,5.986,5.546,3.085,2.935,0.326,0.136,NaN,11
Charleston,East,12/1/1990,0:00,NaN,5.736,5.287,2.767,2.636,-0.015,-0.245,NaN,11
Charleston,East,1/1/1991,0:00,NaN,5.917,5.487,2.977,2.836,0.185,-0.054,NaN,11
Charleston,East,2/1/1991,0:00,NaN,5.316,4.985,2.465,2.377,-0.225,-0.464,NaN,11
Charleston,East,3/1/1991,0:00,6.635,5.615,5.307,2.797,2.675,0.057,-0.133,-1.393,0
Charleston,East,4/1/1991,0:00,6.645,5.605,5.234,2.767,2.646,0.057,-0.094,-1.006,0
Charleston,East,5/1/1991,0:00,7.095,5.956,5.526,3.095,2.967,0.405,0.225,-0.875,0
Charleston,East,6/1/1991,0:00,6.927,6.146,5.697,3.256,3.135,0.576,0.366,-1.354,0
Charleston,East,7/1/1991,0:00,7.636,5.907,5.517,3.017,2.875,0.244,0.057,-0.704,0
Charleston,East,8/1/1991,0:00,7.085,5.927,5.576,3.095,2.954,0.336,0.156,-1.075,0
Charleston,East,9/1/1991,0:00,7.104,6.255,5.956,3.525,3.407,0.854,0.664,-0.225,0
Charleston,East,10/1/1991,0:00,7.065,6.317,5.966,3.545,3.407,0.854,0.746,-0.143,0
Charleston,East,11/1/1991,0:00,7.324,6.045,5.625,3.164,3.046,0.454,0.307,-1.514,0
Charleston,East,12/1/1991,0:00,6.635,5.307,4.906,2.446,2.334,-0.235,-0.435,-1.813,0
Charleston,East,1/1/1992,0:00,6.786,5.576,5.136,2.675,2.567,-0.005,-0.245,-2.275,0
Charleston,East,2/1/1992,0:00,6.625,5.546,5.244,2.807,2.675,0.106,-0.153,-1.754,0
Charleston,East,3/1/1992,0:00,6.005,5.185,4.916,2.446,2.324,-0.274,-0.464,-1.993,0
Charleston,East,4/1/1992,0:00,6.557,5.664,5.307,2.836,2.715,0.126,-0.025,-1.055,0
