City,Region,Date,MHW (ft),MSL (ft),MLW (ft)
Boston,East,12/1/1977,9.966,5.304,0.435
Boston,East,1/1/1978,9.845,5.075,0.045
Boston,East,2/1/1978,10.335,5.405,0.225
Boston,East,3/1/1978,9.765,4.935,-0.125
Boston,East,4/1/1978,10.065,5.225,0.135
Boston,East,5/1/1978,10.025,5.175,0.035
Boston,East,6/1/1978,9.875,5.085,0.025
Boston,East,7/1/1978,9.825,5.085,0.095
Boston,East,8/1/1978,9.855,5.145,0.175
Boston,East,9/1/1978,9.865,5.185,0.285
Boston,East,10/1/1978,9.755,5.095,0.215
Boston,East,11/1/1978,9.825,5.115,0.205
Boston,East,12/1/1978,9.845,4.985,-0.065
Boston,East,1/1/1979,10.205,5.235,0.045
Boston,East,2/1/1979,9.655,4.885,-0.125
Boston,East,3/1/1979,9.735,4.715,-0.365
Boston,East,4/1/1979,9.905,5.105,0.035
Boston,East,5/1/1979,9.835,5.085,0.075
Boston,East,6/1/1979,9.775,5.055,0.075
Boston,East,7/1/1979,9.74,5.068,0.127
Boston,East,8/1/1979,9.91,5.179,0.186
Boston,East,9/1/1979,9.769,5.019,0.009
Boston,East,10/1/1979,9.9,5.127,0.11
Boston,East,11/1/1979,9.7,4.897,-0.149
Boston,East,12/1/1979,9.615,4.812,-0.198
Boston,East,1/1/1980,9.586,4.815,-0.185
Boston,East,2/1/1980,9.746,4.946,-0.109
Boston,East,3/1/1980,9.648,4.805,-0.28
Boston,East,4/1/1980,9.9,5.058,-0.044
Boston,East,5/1/1980,10.012,5.252,0.222
Boston,East,6/1/1980,9.904,5.153,0.147
Boston,East,7/1/1980,9.93,5.094,-0.001
Boston,East,8/1/1980,9.963,5.087,-0.047
Boston,East,9/1/1980,9.779,5.028,0.025
Boston,East,10/1/1980,9.841,5.137,0.206
Boston,East,11/1/1980,9.822,5.084,0.11
Boston,East,12/1/1980,9.376,4.736,-0.122
Boston,East,1/1/1981,9.264,4.654,-0.185
Boston,East,2/1/1981,9.494,4.674,-0.414
Boston,East,3/1/1981,9.864,5.176,0.255
Boston,East,4/1/1981,9.566,4.825,-0.155
Boston,East,5/1/1981,9.966,5.137,0.065
Boston,East,6/1/1981,9.986,5.176,0.114
Boston,East,7/1/1981,9.927,5.156,0.147
Boston,East,8/1/1981,9.874,5.196,0.265
Boston,East,9/1/1981,9.956,5.314,0.484
Boston,East,10/1/1981,9.595,5.045,0.304
Boston,East,11/1/1981,9.845,5.284,0.534
Boston,East,12/1/1981,9.864,5.225,0.366
Boston,East,1/1/1982,9.484,4.835,-0.024
Boston,East,2/1/1982,9.494,4.795,-0.116
Boston,East,3/1/1982,9.494,4.795,-0.155
Boston,East,4/1/1982,9.536,4.795,-0.205
Boston,East,5/1/1982,9.746,5.045,0.035
Boston,East,6/1/1982,10.186,5.484,0.547
Boston,East,7/1/1982,9.707,5.114,0.274
